,date,serial_number,model,failure,capacity_bytes,read-error-rate-normal,read-error-rate-raw,throughput-performance-normal,throughput-performance-raw,spin-up-time-normal,spin-up-time-raw,start/stop-count-normal,start/stop-count-raw,reallocated-sectors-count-normal,reallocated-sectors-count-raw,seek-error-rate-normal,seek-error-rate-raw,seek-time-performance-normal,seek-time-performance-raw,power-on-hours-normal,power-on-hours-raw,spin-retry-count-normal,spin-retry-count-raw,recalibration-retries-normal,recalibration-retries-raw,power-cycle-count-normal,power-cycle-count-raw,soft-read-error-rate-normal,soft-read-error-rate-raw,current-helium-level-normal,current-helium-level-raw,available-reserved-space-normal,available-reserved-space-raw,ssd-wear-leveling-count-normal,ssd-wear-leveling-count-raw,unexpected-power-loss-count-normal,unexpected-power-loss-count-raw,power-loss-protection-failure-normal,power-loss-protection-failure-raw,wear-range-delta-normal,wear-range-delta-raw,used-reserved-block-count-total-normal,used-reserved-block-count-total-raw,unused-reserved-block-count-total-normal,unused-reserved-block-count-total-raw,program-fail-count-total-normal,program-fail-count-total-raw,erase-fail-count-normal,erase-fail-count-raw,sata-downshift-error-count-normal,sata-downshift-error-count-raw,end-to-end-error-normal,end-to-end-error-raw,reported-uncorrectable-errors-normal,reported-uncorrectable-errors-raw,command-timeout-normal,command-timeout-raw,high-fly-writes-normal,high-fly-writes-raw,temperature-difference-normal,temperature-difference-raw,g-sense-error-rate-normal,g-sense-error-rate-raw,power-off-retract-count-normal,power-off-retract-count-raw,load-cycle-count-normal,load-cycle-count-raw,temperature-normal,temperature-raw,hardware-ecc-recovered-normal,hardware-ecc-recovered-raw,reallocation-event-count-normal,reallocation-event-count-raw,current-pending-sector-count-normal,current-pending-sector-count-raw,(offline)-uncorrectable-sector-count-normal,(offline)-uncorrectable-sector-count-raw,ultradma-crc-error-count-normal,ultradma-crc-error-count-raw,multi-zone-error-rate-normal,multi-zone-error-rate-raw,data-address-mark-errors-normal,data-address-mark-errors-raw,flying-height-normal,flying-height-raw,vibration-during-write-normal,vibration-during-write-raw,disk-shift-normal,disk-shift-raw,loaded-hours-normal,loaded-hours-raw,load/unload-retry-count-normal,load/unload-retry-count-raw,load-friction-normal,load-friction-raw,load/unload-cycle-count-normal,load/unload-cycle-count-raw,load-'in'-time-normal,load-'in'-time-raw,life-left-(ssds)-normal,life-left-(ssds)-raw,endurance-remaining-normal,endurance-remaining-raw,media-wearout-indicator-(ssds)-normal,media-wearout-indicator-(ssds)-raw,average-erase-count-and-maximum-erase-count-normal,average-erase-count-and-maximum-erase-count-raw,good-block-count-and-system(free)-block-count-normal,good-block-count-and-system(free)-block-count-raw,head-flying-hours-normal,head-flying-hours-raw,total-lbas-written-normal,total-lbas-written-raw,total-lbas-read-normal,total-lbas-read-raw,read-error-retry-rate-normal,read-error-retry-rate-raw,minimum-spares-remaining-normal,minimum-spares-remaining-raw,newly-added-bad-flash-block-normal,newly-added-bad-flash-block-raw,free-fall-protection-normal,free-fall-protection-raw
0,2021-04-17,ZA1818H6,ST8000NM0055,1,8E+12,,,,,,,,,100,0,,,,,64,31844,,,,,100,14,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,,,,58,42,,,,,,,,,78,57671872,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,67124333304,100,2.68E+11,,,,,,,,
1,2021-04-17,ZA1814FC,ST8000NM0055,1,8E+12,,,,,,,,,94,25512,,,,,64,32322,,,,,100,17,,,,,,,,,,,,,,,,,,,,,,,,,,,62,38,,,,,65,35,,,,,,,,,83,186471232,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,69848420008,100,2.72E+11,,,,,,,,
2,2021-04-17,ZHZ3C64K,ST14000NM0138,1,1.4E+13,,,,,,,,,100,8,,,,,96,3731,,,,,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,212,,,,,61,39,,,,,,,,,3,30973128,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,39882436979,100,42913348668,,,,,,,,
3,2021-04-17,ZA180QHB,ST8000NM0055,1,8E+12,,,,,,,,,100,24,,,,,64,32309,,,,,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,,,,53,47,,,,,,,,,78,64049752,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,69817172016,100,2.42E+11,,,,,,,,
4,2021-04-18,ZLW18TYE,ST14000NM001G,1,1.4E+13,,,,,,,,,100,0,,,,,95,5044,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,,,,69,31,,,,,,,,,,,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,49530303760,100,86336000854,,,,,,,,
5,2021-04-18,ZLW0G6NW,ST12000NM001G,1,1.2E+13,,,,,,,,,100,0,,,,,93,6978,,,,,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,83,17,,,,,67,33,,,,,,,,,,,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50395166560,100,1.01E+11,,,,,,,,
6,2021-04-18,Z304GX8A,ST4000DM000,1,4E+12,,,,,,,,,100,0,,,,,46,47777,,,,,100,11,,,,,,,,,,,,,,,,,,,,,,,98,2,,,100,0,,,,,79,21,,,,,,,,,,,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,58859309880,100,2.95E+11,,,,,,,,
7,2021-04-19,Z303R42A,ST4000DM000,1,4E+12,,,,,,,,,100,0,,,,,45,48881,,,,,100,21,,,,,,,,,,,,,,,,,,,,,,,98,2,,,97,3,,,,,74,26,,,,,,,,,,,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,64344179112,100,3E+11,,,,,,,,
8,2021-04-19,ZLW18EX4,ST14000NM001G,1,1.4E+13,,,,,,,,,100,56,,,,,95,4420,,,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,142,,,,,70,30,,,,,,,,,,,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,44233675400,100,82373466284,,,,,,,,
9,2021-04-19,50L0A00SF97G,TOSHIBA MG07ACA14TA,1,1.4E+13,,,,,,,,,100,0,,,,,100,135,,,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
